Timestamp,Open,High,Low,Close,Volume,Symbol
"Sep 08, 2020",10369.31,10414.78,9945.11,10131.52,33430927462.00,BTC/USD
"Sep 09, 2020",10134.15,10350.54,10017.25,10242.35,24128292755.00,BTC/USD
"Sep 10, 2020",10242.33,10503.91,10238.14,10363.14,54406443211.00,BTC/USD
"Sep 11, 2020",10369.03,10434.92,10140.84,10400.91,45201121775.00,BTC/USD
"Sep 12, 2020",10409.86,10578.84,10292.39,10442.17,36750077324.00,BTC/USD
"Sep 13, 2020",10452.40,10577.22,10224.33,10323.76,36506852789.00,BTC/USD
"Sep 14, 2020",10328.73,10800.01,10266.01,10680.84,35453581940.00,BTC/USD
"Sep 15, 2020",10677.75,10938.63,10656.46,10796.95,32509451925.00,BTC/USD
"Sep 16, 2020",10797.76,11100.12,10704.88,10974.90,30769986455.00,BTC/USD
"Sep 17, 2020",10973.25,11037.42,10774.63,10948.99,38151810523.00,BTC/USD
"Sep 18, 2020",10951.82,11034.91,10829.66,10944.59,26341903912.00,BTC/USD
"Sep 19, 2020",10933.75,11134.09,10909.62,11094.35,22764204008.00,BTC/USD
"Sep 20, 2020",11095.87,11095.87,10814.48,10938.27,24699523788.00,BTC/USD
"Sep 21, 2020",10934.93,10988.30,10380.26,10462.26,28884999244.00,BTC/USD
"Sep 22, 2020",10459.62,10568.08,10382.73,10538.46,23621787804.00,BTC/USD
"Sep 23, 2020",10535.49,10537.83,10197.86,10246.19,23788661867.00,BTC/USD
"Sep 24, 2020",10248.79,10771.06,10231.49,10760.07,47144380902.00,BTC/USD
"Sep 25, 2020",10761.11,10777.70,10578.91,10692.72,39348590957.00,BTC/USD
"Sep 26, 2020",10695.58,10773.00,10667.28,10750.72,46852525493.00,BTC/USD
"Sep 27, 2020",10746.89,10803.98,10622.92,10775.27,53745972818.00,BTC/USD
"Sep 28, 2020",10776.61,10945.35,10703.89,10709.65,47762394731.00,BTC/USD
"Sep 29, 2020",10709.65,10860.00,10649.50,10844.64,46582396602.00,BTC/USD
"Sep 30, 2020",10843.87,10847.26,10669.32,10784.49,44171073700.00,BTC/USD
"Oct 01, 2020",10795.25,10933.62,10472.36,10619.45,40023134100.00,BTC/USD
"Oct 02, 2020",10619.82,10657.84,10416.69,10575.98,48661453918.00,BTC/USD
"Oct 03, 2020",10575.10,10598.94,10511.13,10549.33,44660271563.00,BTC/USD
"Oct 04, 2020",10550.44,10686.00,10534.39,10669.58,71251776995.00,BTC/USD
"Oct 05, 2020",10676.53,10793.51,10634.60,10793.34,47537578009.00,BTC/USD
"Oct 06, 2020",10796.31,10797.58,10528.89,10604.41,42623695307.00,BTC/USD
"Oct 07, 2020",10603.36,10680.51,10562.51,10668.97,37799458436.00,BTC/USD
"Oct 08, 2020",10669.37,10945.74,10562.61,10915.69,63314794397.00,BTC/USD
"Oct 09, 2020",10927.91,11102.67,10846.85,11064.46,22799117613.00,BTC/USD
"Oct 10, 2020",11059.14,11442.21,11056.94,11296.36,22877978588.00,BTC/USD
"Oct 11, 2020",11296.08,11428.81,11288.63,11384.18,19968627060.00,BTC/USD
"Oct 12, 2020",11392.64,11698.47,11240.69,11555.36,26163972642.00,BTC/USD
"Oct 13, 2020",11548.72,11548.98,11321.22,11425.90,24241420251.00,BTC/USD
"Oct 14, 2020",11429.05,11539.98,11307.83,11429.51,24103426719.00,BTC/USD
"Oct 15, 2020",11426.60,11569.91,11303.60,11495.35,24487233058.00,BTC/USD
"Oct 16, 2020",11502.83,11540.06,11223.01,11322.12,25635480772.00,BTC/USD
"Oct 17, 2020",11322.12,11386.26,11285.35,11358.10,19130430174.00,BTC/USD
"Oct 18, 2020",11355.98,11483.36,11347.58,11483.36,18283314340.00,BTC/USD
"Oct 19, 2020",11495.04,11799.09,11408.29,11742.04,23860769928.00,BTC/USD
"Oct 20, 2020",11745.97,11999.92,11681.48,11916.34,30915821592.00,BTC/USD
"Oct 21, 2020",11913.08,13184.57,11900.93,12823.69,43414712626.00,BTC/USD
"Oct 22, 2020",12801.64,13161.59,12717.09,12965.89,34729759598.00,BTC/USD
"Oct 23, 2020",12971.55,13015.96,12752.65,12931.54,28974975003.00,BTC/USD
"Oct 24, 2020",12931.57,13145.07,12885.75,13108.06,24542317940.00,BTC/USD
"Oct 25, 2020",13108.06,13329.18,12910.06,13031.17,24406920575.00,BTC/USD
"Oct 26, 2020",13031.20,13225.30,12822.38,13075.25,29461458313.00,BTC/USD
"Oct 27, 2020",13075.24,13759.67,13060.84,13654.22,33749878156.00,BTC/USD
"Oct 28, 2020",13654.21,13837.70,12932.25,13271.29,35867318895.00,BTC/USD
"Oct 29, 2020",13271.30,13612.05,12980.06,13437.88,56499499598.00,BTC/USD
"Oct 30, 2020",13437.87,13651.52,13136.20,13546.52,30581485201.00,BTC/USD
"Oct 31, 2020",13546.53,14028.21,13457.53,13780.99,30306464719.00,BTC/USD
"Nov 01, 2020",13780.99,13862.03,13628.38,13737.11,24453857900.00,BTC/USD
"Nov 02, 2020",13737.03,13808.32,13243.16,13550.49,30771455468.00,BTC/USD
"Nov 03, 2020",13550.45,13984.98,13325.44,13950.30,29869951617.00,BTC/USD
"Nov 04, 2020",13950.49,14218.77,13580.47,14133.71,35116364962.00,BTC/USD
"Nov 05, 2020",14133.73,15706.40,14102.09,15579.85,40856321439.00,BTC/USD
"Nov 06, 2020",15579.73,15903.44,15226.84,15565.88,39837841971.00,BTC/USD
"Nov 07, 2020",15565.88,15737.10,14423.20,14833.75,35024953706.00,BTC/USD
"Nov 08, 2020",14833.75,15637.32,14744.11,15479.57,26632075029.00,BTC/USD
"Nov 09, 2020",15479.60,15785.14,14865.53,15332.32,34149115566.00,BTC/USD
"Nov 10, 2020",15332.35,15450.33,15124.96,15290.90,25574938143.00,BTC/USD
"Nov 11, 2020",15290.91,15916.26,15290.01,15701.34,29772374934.00,BTC/USD
"Nov 12, 2020",15701.30,16305.00,15534.77,16276.34,34175758344.00,BTC/USD
"Nov 13, 2020",16276.44,16463.18,15992.15,16317.81,31599492172.00,BTC/USD
"Nov 14, 2020",16317.81,16317.81,15749.19,16068.14,27481710135.00,BTC/USD
"Nov 15, 2020",16068.14,16123.11,15793.53,15955.59,23653867583.00,BTC/USD
"Nov 16, 2020",15955.58,16816.18,15880.71,16716.11,31526766675.00,BTC/USD
"Nov 17, 2020",16685.69,17782.92,16564.54,17645.41,39006849170.00,BTC/USD
"Nov 18, 2020",17645.19,18393.95,17352.91,17804.01,49064800278.00,BTC/USD
"Nov 19, 2020",17803.86,18119.55,17382.55,17817.09,36985055355.00,BTC/USD
"Nov 20, 2020",17817.08,18773.23,17765.80,18621.31,36992873940.00,BTC/USD
"Nov 21, 2020",18621.32,18936.62,18444.36,18642.23,39650210707.00,BTC/USD
"Nov 22, 2020",18642.23,18688.97,17671.38,18370.00,41280434226.00,BTC/USD
"Nov 23, 2020",18370.02,18711.43,18000.80,18364.12,42741112308.00,BTC/USD
"Nov 24, 2020",18365.01,19348.27,18128.66,19107.46,51469565009.00,BTC/USD
"Nov 25, 2020",19104.41,19390.97,18581.15,18732.12,43710357371.00,BTC/USD
"Nov 26, 2020",18729.84,18866.29,16351.03,17150.62,61396835737.00,BTC/USD
"Nov 27, 2020",17153.91,17445.02,16526.42,17108.40,38886494645.00,BTC/USD
"Nov 28, 2020",17112.93,17853.94,16910.65,17717.42,32601040734.00,BTC/USD
"Nov 29, 2020",17719.63,18283.63,17559.12,18177.48,31133957704.00,BTC/USD
"Nov 30, 2020",18178.32,19749.26,18178.32,19625.84,47728480399.00,BTC/USD
"Dec 01, 2020",19633.77,19845.98,18321.92,18803.00,49633658712.00,BTC/USD
"Dec 02, 2020",18801.74,19308.33,18347.72,19201.09,37387697139.00,BTC/USD
"Dec 03, 2020",19205.93,19566.19,18925.78,19445.40,31930317405.00,BTC/USD
"Dec 04, 2020",19446.97,19511.40,18697.19,18699.77,33872388058.00,BTC/USD
"Dec 05, 2020",18698.39,19160.45,18590.19,19154.23,27242455064.00,BTC/USD
"Dec 06, 2020",19154.18,19390.50,18897.89,19345.12,25293775714.00,BTC/USD
"Dec 07, 2020",19343.13,19411.83,18931.14,19191.63,26896357742.00,BTC/USD
"Dec 08, 2020",19191.53,19283.48,18269.95,18321.14,31692288756.00,BTC/USD
"Dec 09, 2020",18320.88,18626.29,17935.55,18553.92,34420373071.00,BTC/USD
"Dec 10, 2020",18553.30,18553.30,17957.07,18264.99,25547132265.00,BTC/USD
"Dec 11, 2020",18263.93,18268.45,17619.53,18058.90,27919640985.00,BTC/USD
